model,task,downloads,likes,last_modified,library,license,tags,arxiv,param_b,size_label,log_downloads,log_likes,log_param
Qwen/Qwen3-0.6B,text-generation,28010833,1392,2025-07-26T03:46:27.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|base_model:Qwen/Qwen3-0.6B-Base|base_model:finetune:Qwen/Qwen3-0.6B-Base|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,6.0,unknown,17.14810192187335,7.239214973779806,1.9459101490553132
Qwen/Qwen3-8B,text-generation,16766739,1187,2025-07-26T03:49:13.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-8B-Base|base_model:finetune:Qwen/Qwen3-8B-Base|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,80.0,unknown,16.634907720149748,7.080026499922591,4.394449154672439
facebook/opt-125m,text-generation,13961085,273,2023-09-15T13:10:03.000Z,transformers,license:other,transformers|pytorch|tf|jax|opt|text-generation|en|arxiv:2205.01068|arxiv:2005.14165|license:other|text-generation-inference|deploy:azure|region:us,True,140.0,unknown,16.451784445969004,5.6131281063880705,4.948759890378168
openai-community/gpt2,text-generation,13305312,3331,2024-02-19T10:57:45.000Z,transformers,license:mit,transformers|pytorch|tf|jax|tflite|rust|onnx|safetensors|gpt2|text-generation|exbert|en|doi:10.57967/hf/0039|license:mit|text-generation-inference|endpoints_compatible|deploy:azure|region:us,False,140.0,unknown,16.403673987107823,8.111328003286733,4.948759890378168
Qwen/Qwen2.5-7B-Instruct,text-generation,12875414,1405,2025-01-12T02:10:10.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-7B|base_model:finetune:Qwen/Qwen2.5-7B|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,70.0,unknown,16.37083023700431,7.2485040723706105,4.2626798770413155
Qwen/Qwen2.5-1.5B-Instruct,text-generation,11329964,761,2024-09-25T12:32:50.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-1.5B|base_model:finetune:Qwen/Qwen2.5-1.5B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,15.0,unknown,16.24296154385555,6.635946555686647,2.772588722239781
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,10965251,11,2025-12-19T19:10:57.000Z,transformers,unknown,transformers|safetensors|qwen2|text-generation|trl|conversational|text-generation-inference|endpoints_compatible|region:us,False,140.0,unknown,16.21024192178618,2.4849066497880004,4.948759890378168
Qwen/Qwen3-4B,text-generation,9931095,647,2025-07-26T03:46:39.000Z,transformers,license:apache-2.0,transformers|safetensors|text-generation|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-4B-Base|base_model:finetune:Qwen/Qwen3-4B-Base|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True,40.0,unknown,16.111181402539003,6.473890696352274,3.713572066704308
meta-llama/Llama-3.2-1B-Instruct,text-generation,9230762,1508,2024-10-24T15:07:51.000Z,transformers,license:llama3.2,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|conversational|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|arxiv:2405.16406|license:llama3.2|eval-results|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,16.038052268284556,7.319202458767849,4.948759890378168
meta-llama/Llama-3.1-8B-Instruct,text-generation,9034017,6236,2024-09-25T17:00:57.000Z,transformers,license:llama3.1,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|conversational|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|base_model:meta-llama/Llama-3.1-8B|base_model:finetune:meta-llama/Llama-3.1-8B|license:llama3.1|eval-results|text-generation-inference|endpoints_compatible|region:us,True,80.0,unknown,16.01650778766758,8.738254576526122,4.394449154672439
deepseek-ai/DeepSeek-R1,text-generation,8518111,13440,2025-03-27T04:01:59.000Z,transformers,license:mit,transformers|safetensors|deepseek_v3|text-generation|conversational|custom_code|arxiv:2501.12948|license:mit|eval-results|text-generation-inference|endpoints_compatible|fp8|region:us,True,140.0,unknown,15.957705278005292,9.506065016071148,4.948759890378168
openai/gpt-oss-20b,text-generation,6957414,4767,2025-08-26T17:25:47.000Z,transformers,license:apache-2.0,transformers|safetensors|gpt_oss|text-generation|vllm|conversational|arxiv:2508.10925|license:apache-2.0|eval-results|endpoints_compatible|8-bit|mxfp4|deploy:azure|region:us,True,140.0,unknown,15.755318555275574,8.469682208745185,4.948759890378168
nvidia/Qwen3.6-35B-A3B-NVFP4,text-generation,6785151,435,2026-06-12T21:32:12.000Z,Model Optimizer,license:apache-2.0,Model Optimizer|safetensors|qwen3_5_moe|nvidia|ModelOpt|Qwen3.6|quantized|FP4|fp4|text-generation|conversational|base_model:Qwen/Qwen3.6-35B-A3B|base_model:quantized:Qwen/Qwen3.6-35B-A3B|license:apache-2.0|8-bit|modelopt|deploy:azure|region:us,False,350.0,unknown,15.730247253358321,6.077642243349034,5.860786223465865
antirez/deepseek-v4-gguf,text-generation,6410751,307,2026-05-31T11:28:43.000Z,gguf,license:mit,gguf|quantized|deepseek|deepseek-v4|deepseek-v4-flash|moe|mixture-of-experts|2-bit|4-bit|iq2_xxs|q2_k|q4_k|ds4|apple-silicon|metal|text-generation|en|base_model:deepseek-ai/DeepSeek-V4-Flash|base_model:quantized:deepseek-ai/DeepSeek-V4-Flash|license:mit|endpoints_compatible|region:us|conversational,False,140.0,unknown,15.673487138708456,5.730099782973574,4.948759890378168
Qwen/Qwen2.5-3B-Instruct,text-generation,6305929,525,2024-09-25T12:33:00.000Z,transformers,license:other,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-3B|base_model:finetune:Qwen/Qwen2.5-3B|license:other|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,30.0,unknown,15.657001018486362,6.26530121273771,3.4339872044851463
Qwen/Qwen3-1.7B,text-generation,5837610,499,2025-07-26T03:46:32.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|base_model:Qwen/Qwen3-1.7B-Base|base_model:finetune:Qwen/Qwen3-1.7B-Base|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,17.0,unknown,15.5798321957678,6.214608098422191,2.8903717578961645
Qwen/Qwen3-32B,text-generation,5724077,709,2025-07-26T03:45:22.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,15.560192046400015,6.565264970035361,4.948759890378168
Qwen/Qwen3-4B-Instruct-2507,text-generation,5376006,894,2025-09-17T06:56:53.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,15.497456463267609,6.796823718274855,4.948759890378168
hmellor/tiny-random-LlamaForCausalLM,text-generation,5219656,0,2025-04-29T22:01:04.000Z,transformers,unknown,transformers|safetensors|llama|text-generation|conversational|arxiv:1910.09700|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,15.467942248887642,0.0,4.948759890378168
Qwen/Qwen2.5-0.5B-Instruct,text-generation,4911991,551,2024-09-25T12:32:56.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2407.10671|base_model:Qwen/Qwen2.5-0.5B|base_model:finetune:Qwen/Qwen2.5-0.5B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,5.0,unknown,15.407190120143294,6.313548046277095,1.791759469228055
dphn/dolphin-2.9.1-yi-1.5-34b,text-generation,4587386,65,2025-09-08T05:56:56.000Z,transformers,license:apache-2.0,transformers|safetensors|llama|text-generation|generated_from_trainer|axolotl|conversational|dataset:cognitivecomputations/Dolphin-2.9|dataset:teknium/OpenHermes-2.5|dataset:m-a-p/CodeFeedback-Filtered-Instruction|dataset:cognitivecomputations/dolphin-coder|dataset:cognitivecomputations/samantha-data|dataset:microsoft/orca-math-word-problems-200k|dataset:Locutusque/function-calling-chatml|dataset:internlm/Agent-FLAN|base_model:01-ai/Yi-1.5-34B|base_model:finetune:01-ai/Yi-1.5-34B|license:apache-2.0|text-generation-inference|endpoints_compatible|region:us,False,340.0,unknown,15.338821138888997,4.189654742026425,5.831882477283517
openai/gpt-oss-120b,text-generation,4246098,4951,2025-08-26T17:25:03.000Z,transformers,license:apache-2.0,transformers|safetensors|gpt_oss|text-generation|vllm|conversational|arxiv:2508.10925|license:apache-2.0|eval-results|endpoints_compatible|8-bit|mxfp4|deploy:azure|region:us,True,140.0,unknown,15.2615112370357,8.507546814364431,4.948759890378168
google/gemma-3-270m,text-generation,4122535,1045,2025-08-14T07:35:01.000Z,transformers,license:gemma,transformers|safetensors|gemma3|gemma|google|text-generation|arxiv:2503.19786|arxiv:1905.07830|arxiv:1905.10044|arxiv:1911.11641|arxiv:1705.03551|arxiv:1911.01547|arxiv:1907.10641|arxiv:2311.07911|arxiv:2311.12022|arxiv:2411.04368|arxiv:1904.09728|arxiv:1903.00161|arxiv:2009.03300|arxiv:2304.06364|arxiv:2103.03874|arxiv:2110.14168|arxiv:2108.07732|arxiv:2107.03374|arxiv:2403.07974|arxiv:2305.03111|arxiv:2405.04520|arxiv:2210.03057|arxiv:2106.03193|arxiv:1910.11856|arxiv:2502.12404|arxiv:2502.21228|arxiv:2404.16816|arxiv:2104.12756|arxiv:2311.16502|arxiv:2203.10244|arxiv:2404.12390|arxiv:1810.12440|arxiv:1908.02660|arxiv:2310.02255|arxiv:2312.11805|license:gemma|endpoints_compatible|region:us,True,140.0,unknown,15.231979065942953,6.952728644624869,4.948759890378168
Qwen/Qwen3-14B,text-generation,4116874,417,2025-07-26T03:49:23.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-14B-Base|base_model:finetune:Qwen/Qwen3-14B-Base|license:apache-2.0|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,15.230604938377095,6.035481432524756,4.948759890378168
google/gemma-3-1b-it,text-generation,4014195,1037,2025-04-04T13:12:40.000Z,transformers,license:gemma,transformers|safetensors|gemma3_text|text-generation|conversational|arxiv:1905.07830|arxiv:1905.10044|arxiv:1911.11641|arxiv:1904.09728|arxiv:1705.03551|arxiv:1911.01547|arxiv:1907.10641|arxiv:1903.00161|arxiv:2009.03300|arxiv:2304.06364|arxiv:2103.03874|arxiv:2110.14168|arxiv:2311.12022|arxiv:2108.07732|arxiv:2107.03374|arxiv:2210.03057|arxiv:2106.03193|arxiv:1910.11856|arxiv:2502.12404|arxiv:2502.21228|arxiv:2404.16816|arxiv:2104.12756|arxiv:2311.16502|arxiv:2203.10244|arxiv:2404.12390|arxiv:1810.12440|arxiv:1908.02660|arxiv:2312.11805|base_model:google/gemma-3-1b-pt|base_model:finetune:google/gemma-3-1b-pt|license:gemma|eval-results|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,15.205347636244475,6.945051063725834,4.948759890378168
Qwen/Qwen2.5-Coder-14B-Instruct,text-generation,3911771,172,2025-01-12T02:02:59.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|code|codeqwen|chat|qwen|qwen-coder|conversational|en|arxiv:2409.12186|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-Coder-14B|base_model:finetune:Qwen/Qwen2.5-Coder-14B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,15.179501026229783,5.153291594497779,4.948759890378168
Qwen/Qwen2.5-7B-Instruct-AWQ,text-generation,3682008,47,2024-10-09T12:26:45.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-7B-Instruct|base_model:quantized:Qwen/Qwen2.5-7B-Instruct|license:apache-2.0|text-generation-inference|endpoints_compatible|4-bit|awq|region:us,True,70.0,unknown,15.11896908509591,3.871201010907891,4.2626798770413155
Qwen/Qwen2-1.5B-Instruct,text-generation,3435960,162,2024-06-06T14:36:57.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,False,140.0,unknown,15.049807211614416,5.093750200806762,4.948759890378168
distilbert/distilgpt2,text-generation,3322703,632,2024-02-19T11:09:53.000Z,transformers,license:apache-2.0,transformers|pytorch|tf|jax|tflite|rust|coreml|safetensors|gpt2|text-generation|exbert|en|dataset:openwebtext|arxiv:1910.01108|arxiv:2201.08542|arxiv:2203.12574|arxiv:1910.09700|arxiv:1503.02531|license:apache-2.0|model-index|co2_eq_emissions|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,15.016289467233195,6.450470422144176,4.948759890378168
EleutherAI/pythia-160m,text-generation,3041871,43,2023-07-09T15:52:09.000Z,transformers,license:apache-2.0,transformers|pytorch|safetensors|gpt_neox|text-generation|causal-lm|pythia|en|dataset:EleutherAI/pile|arxiv:2304.01373|arxiv:2101.00027|arxiv:2201.07311|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,14.92798367333555,3.784189633918261,4.948759890378168
Qwen/Qwen2.5-32B-Instruct,text-generation,3001564,354,2024-09-25T12:33:09.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-32B|base_model:finetune:Qwen/Qwen2.5-32B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,320.0,unknown,14.914644377278298,5.872117789475416,5.771441123130016
Qwen/Qwen3-30B-A3B,text-generation,2833421,905,2025-07-26T03:45:17.000Z,transformers,license:apache-2.0,transformers|safetensors|text-generation|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-30B-A3B-Base|base_model:finetune:Qwen/Qwen3-30B-A3B-Base|license:apache-2.0|endpoints_compatible|region:us,True,300.0,unknown,14.85699572642043,6.80903930604298,5.707110264748875
zai-org/GLM-4.7-Flash,text-generation,2656569,1769,2026-01-29T08:06:19.000Z,transformers,license:mit,transformers|safetensors|glm4_moe_lite|text-generation|conversational|en|zh|arxiv:2508.06471|license:mit|eval-results|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,14.7925463749871,7.478734825567875,4.948759890378168
farbodtavakkoli/OTel-LLM-E4B-IT,text-generation,2491715,0,2026-06-23T11:58:47.000Z,pytorch,license:apache-2.0,pytorch|gemma4|telecom|telecommunications|gsma|rag|full-parameter-fine-tuning|fine-tuned|text-generation|conversational|en|dataset:farbodtavakkoli/OTel-LLM|base_model:google/gemma-4-E4B-it|base_model:finetune:google/gemma-4-E4B-it|license:apache-2.0|region:us,False,40.0,unknown,14.728482187708014,0.0,3.713572066704308
HuggingFaceTB/SmolLM2-135M-Instruct,text-generation,2391329,363,2025-09-22T20:43:15.000Z,transformers,license:apache-2.0,transformers|tensorboard|onnx|safetensors|llama|text-generation|transformers.js|conversational|en|arxiv:2502.02737|base_model:HuggingFaceTB/SmolLM2-135M|base_model:quantized:HuggingFaceTB/SmolLM2-135M|license:apache-2.0|text-generation-inference|endpoints_compatible|region:us,True,13.5,unknown,14.687360254482785,5.8971538676367405,2.6741486494265287
Qwen/Qwen3-Coder-Next-FP8,text-generation,2354284,157,2026-02-03T14:13:28.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3_next|text-generation|conversational|license:apache-2.0|endpoints_compatible|fp8|deploy:azure|region:us,False,140.0,unknown,14.671747629992183,5.062595033026967,4.948759890378168
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,text-generation,2327451,93,2026-02-18T10:06:23.000Z,gguf,license:gemma,gguf|uncensored|text-generation|reasoning|instruction-tuned|lightweight|en|base_model:google/gemma-3-1b-it|base_model:quantized:google/gemma-3-1b-it|license:gemma|endpoints_compatible|region:us|conversational,False,140.0,unknown,14.660284664934666,4.543294782270004,4.948759890378168
deepseek-ai/DeepSeek-V4-Flash,text-generation,2320376,1696,2026-06-22T12:12:13.000Z,transformers,license:mit,transformers|safetensors|deepseek_v4|text-generation|conversational|arxiv:2606.19348|license:mit|eval-results|endpoints_compatible|8-bit|fp8|deploy:azure|region:us,True,140.0,unknown,14.657240230440799,7.436617265234227,4.948759890378168
Qwen/Qwen2.5-14B-Instruct,text-generation,2293025,351,2024-09-25T12:33:04.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-14B|base_model:finetune:Qwen/Qwen2.5-14B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,14.64538290063315,5.863631175598097,4.948759890378168
TinyLlama/TinyLlama-1.1B-Chat-v1.0,text-generation,2242558,1661,2024-03-17T05:07:08.000Z,transformers,license:apache-2.0,transformers|safetensors|llama|text-generation|conversational|en|dataset:cerebras/SlimPajama-627B|dataset:bigcode/starcoderdata|dataset:HuggingFaceH4/ultrachat_200k|dataset:HuggingFaceH4/ultrafeedback_binarized|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,False,6270.0,unknown,14.62312818249095,7.415776975415394,8.74369111054302
Qwen/Qwen2.5-0.5B,text-generation,2241985,429,2024-09-25T12:32:36.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|conversational|en|arxiv:2407.10671|license:apache-2.0|eval-results|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,14.622872638170126,6.063785208687608,4.948759890378168
meta-llama/Llama-3.2-3B-Instruct,text-generation,2215487,2304,2024-10-24T15:07:29.000Z,transformers,license:llama3.2,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|conversational|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|arxiv:2405.16406|license:llama3.2|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,14.610983253222448,7.742835955430749,4.948759890378168
nvidia/Gemma-4-26B-A4B-NVFP4,text-generation,2184357,112,2026-05-11T15:58:52.000Z,Model Optimizer,license:apache-2.0,Model Optimizer|safetensors|gemma4|nvidia|ModelOpt|quantized|NVFP4|nvfp4|gemma4-26b-A4B-it|text-generation|conversational|base_model:google/gemma-4-26B-A4B-it|base_model:quantized:google/gemma-4-26B-A4B-it|license:apache-2.0|8-bit|modelopt|region:us,False,40.0,unknown,14.596832521827533,4.727387818712341,3.713572066704308
deepseek-ai/DeepSeek-R1-0528,text-generation,2065341,2455,2025-05-29T11:37:44.000Z,transformers,license:mit,transformers|safetensors|deepseek_v3|text-generation|conversational|custom_code|arxiv:2501.12948|license:mit|eval-results|text-generation-inference|endpoints_compatible|fp8|region:us,True,140.0,unknown,14.54080638809763,7.806289289267033,4.948759890378168
zai-org/GLM-5-FP8,text-generation,2033152,181,2026-04-05T07:51:12.000Z,transformers,license:mit,transformers|safetensors|glm_moe_dsa|text-generation|conversational|en|zh|arxiv:2602.15763|license:mit|eval-results|endpoints_compatible|fp8|region:us,True,140.0,unknown,14.52509834801778,5.204006687076795,4.948759890378168
Qwen/Qwen2.5-Coder-7B-Instruct,text-generation,2013605,748,2025-01-12T02:03:41.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|code|codeqwen|chat|qwen|qwen-coder|conversational|en|arxiv:2409.12186|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-Coder-7B|base_model:finetune:Qwen/Qwen2.5-Coder-7B|license:apache-2.0|text-generation-inference|endpoints_compatible|deploy:azure|region:us,True,70.0,unknown,14.515437702536587,6.618738983517219,4.2626798770413155
deepseek-ai/DeepSeek-V3.2,text-generation,1908020,1454,2025-12-01T11:04:59.000Z,transformers,license:mit,transformers|safetensors|deepseek_v32|text-generation|conversational|base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base|base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base|license:mit|eval-results|endpoints_compatible|fp8|region:us,False,140.0,unknown,14.461577137219109,7.282761179605593,4.948759890378168
meta-llama/Llama-3.2-1B,text-generation,1848852,2472,2024-10-24T15:08:03.000Z,transformers,license:llama3.2,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|arxiv:2405.16406|license:llama3.2|eval-results|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,14.430076004775028,7.813187267521416,4.948759890378168
Qwen/Qwen3-0.6B-FP8,text-generation,1812173,62,2025-07-26T03:45:47.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2505.09388|base_model:Qwen/Qwen3-0.6B|base_model:quantized:Qwen/Qwen3-0.6B|license:apache-2.0|text-generation-inference|endpoints_compatible|fp8|region:us,True,6.0,unknown,14.41003778746488,4.143134726391533,1.9459101490553132
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,text-generation,1811596,37,2024-11-18T12:55:21.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen2|text-generation|code|codeqwen|chat|qwen|qwen-coder|conversational|en|arxiv:2409.12186|arxiv:2309.00071|arxiv:2407.10671|base_model:Qwen/Qwen2.5-Coder-32B-Instruct|base_model:quantized:Qwen/Qwen2.5-Coder-32B-Instruct|license:apache-2.0|text-generation-inference|endpoints_compatible|4-bit|awq|deploy:azure|region:us,True,320.0,unknown,14.409719334668123,3.6375861597263857,5.771441123130016
Qwen/Qwen3-14B-AWQ,text-generation,1787353,71,2025-05-21T06:21:57.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-14B|base_model:quantized:Qwen/Qwen3-14B|license:apache-2.0|text-generation-inference|endpoints_compatible|4-bit|awq|region:us,True,140.0,unknown,14.396246871892766,4.276666119016055,4.948759890378168
nvidia/NVIDIA-Nemotron-3-Nano-4B-BF16,text-generation,1737901,101,2026-03-20T20:50:41.000Z,transformers,license:other,transformers|safetensors|nemotron_h|text-generation|nvidia|pytorch|conversational|custom_code|en|dataset:nvidia/Nemotron-CC-v2|dataset:nvidia/Nemotron-Post-Training-Dataset-v2|dataset:nvidia/Nemotron-Science-v1|dataset:nvidia/Nemotron-Instruction-Following-Chat-v1|dataset:nvidia/Nemotron-Agentic-v1|dataset:nvidia/Nemotron-Competitive-Programming-v1|dataset:nvidia/Nemotron-Math-Proofs-v1|dataset:nvidia/Nemotron-RL-Agentic-Conversational-Tool-Use-Pivot-v1|dataset:nvidia/Nemotron-RL-instruction_following|dataset:nvidia/Nemotron-RL-agent-calendar_scheduling|dataset:nvidia/Nemotron-RL-instruction_following-structured_outputs|arxiv:2511.16664|arxiv:2504.03624|arxiv:2512.20856|arxiv:2512.20848|arxiv:2412.02595|base_model:nvidia/NVIDIA-Nemotron-Nano-9B-v2|base_model:finetune:nvidia/NVIDIA-Nemotron-Nano-9B-v2|license:other|endpoints_compatible|region:us,True,90.0,unknown,14.368189196566364,4.624972813284271,4.51085950651685
Qwen/Qwen3-32B-AWQ,text-generation,1711213,136,2025-05-21T06:17:51.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2309.00071|arxiv:2505.09388|base_model:Qwen/Qwen3-32B|base_model:quantized:Qwen/Qwen3-32B|license:apache-2.0|text-generation-inference|endpoints_compatible|4-bit|awq|region:us,True,320.0,unknown,14.35271361811004,4.919980925828125,5.771441123130016
ibm-research/PowerMoE-3b,text-generation,1701962,20,2024-09-24T22:04:31.000Z,transformers,license:apache-2.0,transformers|safetensors|granitemoe|text-generation|arxiv:2408.13359|license:apache-2.0|model-index|region:us,True,140.0,unknown,14.347292848748724,3.044522437723423,4.948759890378168
zai-org/GLM-5.2-FP8,text-generation,1700978,189,2026-07-02T08:09:27.000Z,transformers,license:mit,transformers|safetensors|glm_moe_dsa|text-generation|conversational|en|zh|arxiv:2602.15763|arxiv:2603.12201|license:mit|endpoints_compatible|fp8|region:us,True,140.0,unknown,14.346714525622778,5.247024072160486,4.948759890378168
Qwen/Qwen3-Coder-30B-A3B-Instruct,text-generation,1691190,1145,2025-12-03T08:05:17.000Z,transformers,license:apache-2.0,transformers|safetensors|qwen3_moe|text-generation|conversational|arxiv:2505.09388|license:apache-2.0|endpoints_compatible|deploy:azure|region:us,True,140.0,unknown,14.34094357241886,7.044032897274685,4.948759890378168
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,text-generation,1614810,4,2024-10-09T18:57:13.000Z,safetensors,license:llama3.2,safetensors|llama|fp8|vllm|text-generation|conversational|en|de|fr|it|pt|hi|es|th|base_model:meta-llama/Llama-3.2-1B-Instruct|base_model:quantized:meta-llama/Llama-3.2-1B-Instruct|license:llama3.2|compressed-tensors|region:us,False,10.0,unknown,14.294728479926823,1.6094379124341003,2.3978952727983707
nvidia/diffusiongemma-26B-A4B-it-NVFP4,text-generation,1584127,93,2026-07-04T17:57:49.000Z,safetensors,license:apache-2.0,safetensors|diffusion_gemma|nvidia|ModelOpt|DiffusionGemma-26B-A4B-IT|quantized|NVFP4|nvfp4|text-generation|conversational|base_model:google/diffusiongemma-26B-A4B-it|base_model:quantized:google/diffusiongemma-26B-A4B-it|license:apache-2.0|8-bit|modelopt|region:us,False,260.0,unknown,14.275544656172519,4.543294782270004,5.564520407322694
apple/OpenELM-1_1B-Instruct,text-generation,1551103,75,2025-02-28T18:31:24.000Z,transformers,license:apple-amlr,transformers|safetensors|openelm|text-generation|custom_code|arxiv:2404.14619|license:apple-amlr|region:us,True,140.0,unknown,14.254477493424552,4.330733340286331,4.948759890378168
nvidia/Gemma-4-31B-IT-NVFP4,text-generation,1542625,526,2026-05-08T03:33:34.000Z,Model Optimizer,license:other,Model Optimizer|safetensors|nvidia|ModelOpt|Gemma-4-31B-IT|lighthouse|quantized|NVFP4|text-generation|base_model:google/gemma-4-31B-it|base_model:finetune:google/gemma-4-31B-it|license:other|deploy:azure|region:us,False,310.0,unknown,14.24899671700096,6.267200548541362,5.739792912179234
meta-llama/Llama-3.1-8B,text-generation,1538560,2305,2024-10-16T22:00:37.000Z,transformers,license:llama3.1,transformers|safetensors|llama|text-generation|facebook|meta|pytorch|llama-3|en|de|fr|it|pt|hi|es|th|arxiv:2204.05149|license:llama3.1|eval-results|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,14.246358121967008,7.743269700829004,4.948759890378168
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,text-generation,1492978,1080,2025-05-29T13:13:34.000Z,transformers,license:mit,transformers|safetensors|qwen3|text-generation|conversational|arxiv:2501.12948|license:mit|text-generation-inference|endpoints_compatible|region:us,True,140.0,unknown,14.216284010782754,6.985641817639208,4.948759890378168
